category,variable,variable_label,upskilling_mean,upskilling_std,reskilling_mean,reskilling_std,cohens_d,t_statistic,p_value,significance
other,p_challenge_newjob,Challenge - Ensuring that participants could find a new job,0.0,0.0,0.3401360511779785,0.47537437081336975,0.9712177515029907,-8.675121811643804,7.376393365288473e-15,***
other,p_year_start_clone2,p_year_start_clone2,2020.459716796875,1.1290631294250488,2021.061279296875,1.1055556535720825,0.5388578176498413,-4.411444012272133,1.5062535598132764e-05,***
targeting,p_target_middle,p_target_middle,0.49193549156188965,0.5019630789756775,0.7210884094238281,0.4499971568584442,0.4829708933830261,-3.924446541427305,0.00011245776225237076,***
other,p_year_end_clone2,p_year_end_clone2,2022.0968017578125,0.9578036665916443,2022.50341796875,0.7618843913078308,0.4744403660297394,-3.8171849268856763,0.00017297996815128427,***
program_structure,p_hours_long,p_hours_long,0.22580644488334656,0.4198085069656372,0.4217686951160431,0.49553030729293823,0.423750102519989,-3.5243107465596983,0.000498820246115879,***
other,p_challenge_progcompl,Challenge - Ensuring program completion,0.5322580933570862,0.5009825229644775,0.35374149680137634,0.47976478934288025,-0.36463162302970886,2.979470897489418,0.0031636514167223554,**
other,p_adv_top,p_adv_top,0.30645161867141724,0.46288982033729553,0.15646257996559143,0.3645353615283966,-0.36367267370224,2.9236205694508683,0.003802568969166636,**
other,p_long,p_long,0.14516128599643707,0.3536924421787262,0.2857142984867096,0.453298419713974,0.3421764373779297,-2.865043686615909,0.004500509097973523,**
targeting,p_target_top,p_target_top,0.6612903475761414,0.4751909673213959,0.5102040767669678,0.5016049146652222,-0.3085257112979889,2.5420001455768704,0.011591170884728861,*
other,p_adv_hr,p_adv_hr,0.5645161271095276,0.49783164262771606,0.6938775777816772,0.4624568819999695,0.27009034156799316,-2.2012622765616463,0.028617612614793255,*
targeting,p_target_topmiddle,p_target_topmiddle,0.1854838728904724,0.39026644825935364,0.2925170063972473,0.4564737379550934,0.250384658575058,-2.0808603655295053,0.03839299329280717,*
targeting,p_criteria_tenure,Criteria - Tenure,0.8145161271095276,0.39026644825935364,0.7142857313156128,0.453298419713974,-0.2354833036661148,1.9558838978057809,0.05151422831017992,
funding,p_fund_other,Other,6.443548202514648,8.903550148010254,4.4353742599487305,8.075896263122559,-0.23724974691867828,1.9297108471040125,0.05476929076582555,
targeting,p_criteria_qualifications,Criteria - Pre-existing skills/qualifications,0.8387096524238586,0.36929062008857727,0.7551020383834839,0.43149685859680176,-0.20682531595230103,1.718707254343178,0.08681845775333938,
other,p_challenge_convmanager,Challenge - Convincing managers to allow their employees to participate in the p,0.32258063554763794,0.4693601727485657,0.2312925159931183,0.4231005311012268,-0.20521099865436554,1.6682465737181593,0.09651709923778584,
targeting,p_criteria_managerrec,Criteria - Manager's recommendation',0.024193547666072845,0.15427298843860626,0.06122449040412903,0.24056127667427063,0.18006880581378937,-1.5302456989529911,0.12721035680372605,
targeting,p_criteria_assmsmotivation,Criteria - Pre-assessment of motivation,0.11290322244167328,0.31775835156440735,0.17687074840068817,0.38286375999450684,0.1804032176733017,-1.5029557809363263,0.1340237709786883,
targeting,p_target_emp,p_target_emp,0.25806450843811035,0.4393447935581207,0.3401360511779785,0.47537437081336975,0.17870748043060303,-1.475494143228423,0.1412591639566352,
other,p_challenge_selecting,Challenge - Selecting the right participants,0.1854838728904724,0.39026644825935364,0.25850340723991394,0.43930885195732117,0.17485541105270386,-1.4485146337058679,0.14864098362076614,
other,p_cri_individual,p_cri_individual,0.7983871102333069,0.4028322100639343,0.8639456033706665,0.34401845932006836,0.17620106041431427,-1.4259420028802985,0.15516680148824852,
funding,p_fund_gov,Government,17.935483932495117,15.17686653137207,15.707483291625977,13.042716979980469,-0.15847715735435486,1.283178387641421,0.20064621809490896,
other,p_resp_hr,p_resp_hr,0.5161290168762207,0.5017671585083008,0.5918367505073547,0.4931739866733551,0.1522921621799469,-1.2471636192918936,0.21346062455367337,
other,p_cha_takeup,p_cha_takeup,0.2983871102333069,0.45940646529197693,0.36734694242477417,0.4837302565574646,0.14586538076400757,-1.201556229591434,0.2306073500709983,
funding,p_fund_union,Union,13.02419376373291,12.47010326385498,14.7619047164917,12.342893600463867,0.14012417197227478,-1.1482027280951514,0.2519383810123509,
targeting,p_target_all,p_target_all,0.024193547666072845,0.15427298843860626,0.006802720949053764,0.0824786126613617,-0.14405196905136108,1.1267740029732576,0.2613328246682248,
other,p_part,p_part,64.00806427001953,19.38212013244629,61.25850296020508,22.079275131225586,-0.13162559270858765,1.0914861890047844,0.2760372446056888,
targeting,p_target_middleemp,p_target_middleemp,0.20967741310596466,0.40872982144355774,0.25850340723991394,0.43930885195732117,0.11472290754318237,-0.9466721304947419,0.34466376177220226,
other,p_cha_support,p_cha_support,0.33870968222618103,0.4751909673213959,0.2857142984867096,0.453298419713974,-0.11435291171073914,0.9340893192722108,0.3511352210337786,
other,p_challenge_supportoutsideHR,Challenge - Getting the support of other corporate managers outside HR,0.032258063554763794,0.17740146815776825,0.054421767592430115,0.2276236116886139,0.10749521851539612,-0.9001408360986951,0.36885525881500814,
targeting,p_target_topbottom,p_target_topbottom,0.04838709533214569,0.2154533416032791,0.027210883796215057,0.16325366497039795,-0.11209078878164291,0.8983457592498988,0.36995614831502,
other,p_ongoing,p_ongoing,0.22580644488334656,0.4198085069656372,0.27210885286331177,0.446567177772522,0.10655590146780014,-0.8785075451117723,0.3804617011556266,
